abbrev,signal,case_id,group_label
FRP1,1847.181272,Sal1,Saline
FRP2/3,115.4077956,Sal1,Saline
MOp1,3580.389232,Sal1,Saline
MOp2/3,11281.49316,Sal1,Saline
MOp5,14101.53694,Sal1,Saline
MOp6a,8050.161671,Sal1,Saline
MOp6b,17185.70472,Sal1,Saline
MOs1,564.1080848,Sal1,Saline
MOs2/3,2084.491604,Sal1,Saline
MOs5,3096.735897,Sal1,Saline
MOs6a,2139.278275,Sal1,Saline
MOs6b,5672.659466,Sal1,Saline
SSp-bfd1,654.7927724,Sal1,Saline
SSp-bfd2/3,6562.16738,Sal1,Saline
SSp-bfd4,6029.307289,Sal1,Saline
SSp-bfd5,11089.82016,Sal1,Saline
SSp-bfd6a,6231.623463,Sal1,Saline
SSp-bfd6b,8659.227468,Sal1,Saline
SSp-ll1,856.3983285,Sal1,Saline
SSp-ll2/3,3919.718249,Sal1,Saline
SSp-ll4,6335.396473,Sal1,Saline
SSp-ll5,7479.754654,Sal1,Saline
SSp-ll6a,3349.809657,Sal1,Saline
SSp-ll6b,7502.487562,Sal1,Saline
SSp-m1,811.7121758,Sal1,Saline
SSp-m2/3,8618.074165,Sal1,Saline
SSp-m4,12079.42625,Sal1,Saline
SSp-m5,12014.30608,Sal1,Saline
SSp-m6a,4109.030247,Sal1,Saline
SSp-m6b,5763.612452,Sal1,Saline
SSp-n1,530.51576,Sal1,Saline
SSp-n2/3,7550.102096,Sal1,Saline
SSp-n4,7387.503478,Sal1,Saline
SSp-n5,9160.816136,Sal1,Saline
SSp-n6a,5165.290544,Sal1,Saline
SSp-n6b,8042.270776,Sal1,Saline
SSp-tr1,126.8391679,Sal1,Saline
SSp-tr2/3,2735.804489,Sal1,Saline
SSp-tr4,4795.584148,Sal1,Saline
SSp-tr5,8207.006477,Sal1,Saline
SSp-tr6a,3633.976609,Sal1,Saline
SSp-tr6b,3254.234903,Sal1,Saline
SSp-ul1,766.3896983,Sal1,Saline
SSp-ul2/3,5444.286056,Sal1,Saline
SSp-ul4,9417.84095,Sal1,Saline
SSp-ul5,10557.2832,Sal1,Saline
SSp-ul6a,5153.934011,Sal1,Saline
SSp-ul6b,12118.66598,Sal1,Saline
SSs1,372.4081593,Sal1,Saline
SSs2/3,2025.610199,Sal1,Saline
SSs4,3544.876907,Sal1,Saline
SSs5,3129.20237,Sal1,Saline
SSs6a,2054.913882,Sal1,Saline
SSs6b,2379.095355,Sal1,Saline
GU1,1123.161522,Sal1,Saline
GU2/3,4942.372439,Sal1,Saline
GU4,7817.820272,Sal1,Saline
GU5,9037.529014,Sal1,Saline
GU6a,8490.114992,Sal1,Saline
GU6b,8520.698535,Sal1,Saline
VISC1,168.4675951,Sal1,Saline
VISC2/3,340.805959,Sal1,Saline
VISC4,884.8687445,Sal1,Saline
VISC6a,2873.85244,Sal1,Saline
VISC6b,3261.447563,Sal1,Saline
VISC5,1091.871456,Sal1,Saline
AUDd1,1405.696125,Sal1,Saline
